timestamp,transaction_type,token,amount
1571967208,DEPOSIT,BTC,0.298660
1571966685,DEPOSIT,BTC,0.658794
1571966568,DEPOSIT,BTC,0.630386
1571966566,DEPOSIT,BTC,0.985879
1571966499,DEPOSIT,BTC,0.162165
1571966194,DEPOSIT,BTC,0.858688
1571966124,DEPOSIT,ETH,0.663150
1571967200,DEPOSIT,ETH,0.683640
1571967110,DEPOSIT,ETH,0.347595
1571966641,DEPOSIT,ETH,0.899781
1571966421,DEPOSIT,ETH,0.218207
1571966410,DEPOSIT,ETH,0.205472
1571966399,DEPOSIT,XRP,0.537373
1571967150,DEPOSIT,XRP,0.693272
1571966763,DEPOSIT,XRP,0.488537
1571966749,DEPOSIT,XRP,0.109955
1571966329,WITHDRAWAL,BTC,0.063663
1571966250,WITHDRAWAL,ETH,0.761543
1571966982,WITHDRAWAL,ETH,0.266166
1571967189,WITHDRAWAL,ETH,0.493839
1571967067,WITHDRAWAL,XRP,0.393786
1571966896,WITHDRAWAL,XRP,0.819840
1571966868,WITHDRAWAL,XRP,0.969999
1571966849,WITHDRAWAL,XRP,0.650535